movieId,innerId
307,0
481,1
1091,2
1257,3
1449,4
1590,5
1591,6
2134,7
2478,8
2840,9
2986,10
3020,11
3424,12
3698,13
3826,14
3893,15
170,16
849,17
1186,18
1235,19
1244,20
1296,21
1663,22
1962,23
2108,24
2243,25
2352,26
2707,27
2746,28
2915,29
3363,30
640,31
828,32
960,33
1221,34
1321,35
1645,36
1825,37
1985,38
2024,39
2028,40
3171,41
1,42
2,43
5,44
6,45
10,46
11,47
16,48
19,49
20,50
23,51
25,52
31,53
32,54
34,55
36,56
39,57
41,58
44,59
45,60
47,61
50,62
61,63
62,64
65,65
66,66
70,67
76,68
85,69
95,70
100,71
104,72
110,73
141,74
145,75
150,76
151,77
153,78
158,79
160,80
161,81
163,82
165,83
169,84
172,85
173,86
175,87
180,88
181,89
185,90
186,91
193,92
198,93
204,94
216,95
223,96
231,97
253,98
255,99
256,100
260,101
267,102
288,103
292,104
293,105
296,106
315,107
316,108
317,109
318,110
327,111
329,112
332,113
333,114
338,115
339,116
344,117
349,118
350,119
353,120
356,121
361,122
364,123
367,124
368,125
370,126
377,127
379,128
380,129
382,130
405,131
410,132
420,133
423,134
432,135
434,136
435,137
440,138
442,139
454,140
455,141
457,142
466,143
471,144
474,145
480,146
485,147
494,148
500,149
514,150
517,151
520,152
524,153
527,154
539,155
541,156
546,157
552,158
586,159
587,160
588,161
589,162
590,163
592,164
593,165
595,166
597,167
608,168
610,169
647,170
648,171
653,172
724,173
733,174
736,175
741,176
762,177
778,178
780,179
784,180
785,181
786,182
788,183
798,184
805,185
818,186
832,187
836,188
852,189
858,190
875,191
879,192
919,193
924,194
941,195
1015,196
1020,197
1036,198
1037,199
1047,200
1049,201
1059,202
1079,203
1080,204
1088,205
1089,206
1090,207
1092,208
1094,209
1100,210
1101,211
1126,212
1127,213
1136,214
1196,215
1198,216
1200,217
1203,218
1207,219
1208,220
1210,221
1214,222
1215,223
1220,224
1222,225
1240,226
1242,227
1259,228
1265,229
1270,230
1274,231
1275,232
1291,233
1320,234
1339,235
1356,236
1370,237
1372,238
1374,239
1375,240
1376,241
1377,242
1385,243
1391,244
1393,245
1396,246
1405,247
1407,248
1425,249
1445,250
1466,251
1476,252
1485,253
1500,254
1515,255
1517,256
1518,257
1527,258
1544,259
1552,260
1562,261
1580,262
1584,263
1586,264
1592,265
1597,266
1606,267
1608,268
1610,269
1615,270
1616,271
1617,272
1625,273
1641,274
1642,275
1647,276
1653,277
1665,278
1673,279
1676,280
1682,281
1687,282
1690,283
1704,284
1721,285
1722,286
1732,287
1747,288
1748,289
1760,290
1769,291
1779,292
1784,293
1792,294
1805,295
1810,296
1831,297
1876,298
1882,299
1884,300
1892,301
1909,302
1917,303
1918,304
1921,305
1923,306
1961,307
1967,308
1968,309
2000,310
2001,311
2002,312
2003,313
2004,314
2006,315
2011,316
2012,317
2021,318
2036,319
2046,320
2053,321
2054,322
2058,323
2081,324
2082,325
2094,326
2100,327
2105,328
2115,329
2126,330
2133,331
2140,332
2150,333
2152,334
2153,335
2161,336
2167,337
2174,338
2193,339
2194,340
2231,341
2268,342
2273,343
2278,344
2291,345
2294,346
2296,347
2302,348
2311,349
2334,350
2335,351
2353,352
2355,353
2378,354
2379,355
2381,356
2391,357
2393,358
2405,359
2406,360
2407,361
2424,362
2433,363
2450,364
2468,365
2470,366
2471,367
2490,368
2501,369
2502,370
2505,371
2539,372
2541,373
2542,374
2549,375
2571,376
2600,377
2605,378
2616,379
2617,380
2628,381
2640,382
2641,383
2672,384
2683,385
2688,386
2700,387
2701,388
2706,389
2710,390
2712,391
2716,392
2717,393
2718,394
2720,395
2722,396
2723,397
2762,398
2763,399
2764,400
2770,401
2791,402
2792,403
2794,404
2797,405
2803,406
2805,407
2808,408
2816,409
2858,410
2860,411
2881,412
2889,413
2890,414
2916,415
2918,416
2947,417
2948,418
2949,419
2953,420
2959,421
2985,422
2987,423
2989,424
2990,425
2991,426
2993,427
2997,428
3000,429
3033,430
3039,431
3052,432
3063,433
3082,434
3087,435
3107,436
3113,437
3114,438
3146,439
3156,440
3173,441
3190,442
3208,443
3247,444
3248,445
3249,446
3250,447
3252,448
3253,449
3254,450
3255,451
3256,452
3263,453
3264,454
3268,455
3275,456
3298,457
3300,458
3301,459
3316,460
3354,461
3388,462
3448,463
3452,464
3479,465
3481,466
3489,467
3513,468
3527,469
3552,470
3555,471
3578,472
3593,473
3608,474
3617,475
3623,476
3635,477
3638,478
3639,479
3697,480
3702,481
3703,482
3704,483
3717,484
3740,485
3745,486
3751,487
3753,488
3755,489
3763,490
3793,491
3809,492
3825,493
3827,494
3835,495
3841,496
3868,497
3869,498
3879,499
3889,500
3916,501
3948,502
3952,503
3977,504
3980,505
3981,506
3984,507
3990,508
3994,509
3996,510
3997,511
4005,512
4011,513
4015,514
4018,515
4019,516
4022,517
4025,518
4034,519
4052,520
4084,521
4085,522
4104,523
4121,524
4148,525
4167,526
4207,527
4214,528
4223,529
4226,530
4232,531
4238,532
4239,533
4246,534
4262,535
4270,536
4306,537
4308,538
4321,539
4343,540
4344,541
4351,542
4367,543
4396,544
4446,545
4448,546
4483,547
4487,548
4544,549
4545,550
4571,551
4621,552
4638,553
4643,554
4678,555
4679,556
4701,557
4718,558
4719,559
4721,560
4734,561
4776,562
4844,563
4874,564
4878,565
4886,566
4889,567
4890,568
4896,569
4901,570
4958,571
4963,572
4975,573
4979,574
4980,575
4992,576
4993,577
4995,578
5010,579
5049,580
5064,581
5069,582
5107,583
5110,584
5152,585
5218,586
5219,587
5254,588
5283,589
5299,590
5349,591
5378,592
5388,593
5400,594
5418,595
5438,596
5445,597
5459,598
5463,599
5464,600
5481,601
5502,602
5504,603
5507,604
5541,605
5563,606
5665,607
5679,608
5782,609
5816,610
5872,611
5876,612
5882,613
5903,614
5944,615
5945,616
5952,617
5954,618
5956,619
5959,620
5989,621
5999,622
6003,623
6016,624
6059,625
6104,626
6188,627
6213,628
6264,629
6281,630
6283,631
6294,632
6322,633
6333,634
